company,open,High,Low,close,change,Trades,Volume,Date
DANGCEM,245,244.9,243,244.9,-0.1,239,"8,604,254",2021-01-01
DANGCEM,244.9,-,-,244.9,,113,"321,850",2021-01-04
DANGCEM,244.9,-,-,244.9,,223,"1,576,051",2021-01-05
DANGCEM,244.9,-,-,244.9,,136,"567,171",2021-01-06
DANGCEM,244.9,-,-,244.9,,87,"118,670",2021-01-07
DANGCEM,244.9,225,225,225,-19.9,121,"744,511",2021-01-08
DANGCEM,225,-,-,225,,157,"481,887",2021-01-11
DANGCEM,225,230,225,230,5,143,"1,544,991",2021-01-12
DANGCEM,230,230,230,230,0,100,"1,309,204",2021-01-13
DANGCEM,230,237.8,234.9,237,7,97,"3,872,056",2021-01-14
DANGCEM,237,-,-,237,,146,"1,334,175",2021-01-15
DANGCEM,237,234.6,227.6,234.6,-2.4,112,"1,165,614",2021-01-18
DANGCEM,234.6,-,-,234.6,,106,"734,190",2021-01-19
DANGCEM,234.6,234.5,234.3,234.5,-0.1,131,"1,754,636",2021-01-20
DANGCEM,234.5,234,231.4,234,-0.5,85,"588,077",2021-01-21
DANGCEM,234,-,-,234,,62,"186,717",2021-01-22
DANGCEM,234,236,236,236,2,94,"954,707",2021-01-25DANGCEM,236,236,235,236,0,120,"2,101,840",2021-01-26
DANGCEM,236,-,-,236,,98,"929,627",2021-01-27
DANGCEM,236,-,-,236,,73,"155,611",2021-01-28
DANGCEM,236,-,-,236,,72,"313,490",2021-01-29
DANGCEM,236,-,-,236,,133,"805,574",2021-02-01
DANGCEM,236,-,-,236,,83,"383,719",2021-02-02
DANGCEM,236,-,-,236,,81,"916,511",2021-02-03
DANGCEM,236,230,230,230,-6,89,"864,499",2021-02-04
DANGCEM,230,-,-,230,,60,"175,488",2021-02-05
DANGCEM,230,-,-,230,,72,"178,708",2021-02-08
DANGCEM,230,-,-,230,,77,"90,875",2021-02-09
DANGCEM,230,213,213,213,-17,166,"940,057",2021-02-10
DANGCEM,213,228,213,228,15,165,"944,431",2021-02-11
DANGCEM,228,220,211,220,-8,73,"547,204",2021-02-12
DANGCEM,220,-,-,220,,68,"24,872",2021-02-15
DANGCEM,220,-,-,220,,96,"105,782",2021-02-16
DANGCEM,220,-,-,220,,77,"182,668",2021-02-17
DANGCEM,220,-,-,220,,70,"338,665",2021-02-18
DANGCEM,220,-,-,220,,82,"228,348",2021-02-19
DANGCEM,220,-,-,220,,138,"911,566",2021-02-22
DANGCEM,220,-,-,220,,50,"63,813",2021-02-24
DANGCEM,220,-,-,220,,73,"360,616",2021-02-25
DANGCEM,220,-,-,220,,59,"174,982",2021-02-26
DANGCEM,220,-,-,220,,88,"275,749",2021-03-01DANGCEM,220,-,-,220,,64,"304,386",2021-03-02
DANGCEM,220,-,-,220,,90,"699,527",2021-03-03
DANGCEM,220,-,-,220,,137,"1,177,371",2021-03-04
DANGCEM,220,220,198.1,220,0,77,"1,423,175",2021-03-05
DANGCEM,220,-,-,220,,88,"436,408",2021-03-09
DANGCEM,220,228,228,228,8,81,"2,180,016",2021-03-10
DANGCEM,228,220,220,220,-8,93,"2,503,194",2021-03-11
DANGCEM,220,220,215,220,0,71,"708,149",2021-03-12
DANGCEM,220,-,-,220,,57,"116,265",2021-03-15DANGCEM,220,228,227,227.8,7.8,90,"4,101,593",2021-03-16
DANGCEM,227.8,-,-,227.8,,77,"562,154",2021-03-17
DANGCEM,227.8,-,-,227.8,,62,"275,575",2021-03-18DANGCEM,227.8,220,220,220,-7.8,95,"297,241",2021-03-19
